binID	CADD
enhancers::chr10:100180600-100185600::chr10-100180600-100181080::chr10-100180600-100181080	4.023
enhancers::chr10:100180600-100185600::chr10-100184474-100185015::chr10-100184474-100185015	2.61
enhancers::chr10:100190200-100190800::chr10-100190529-100190800::chr10-100190529-100190800	2.523285714
enhancers::chr10:100270000-100270600::chr10-100270083-100270600::chr10-100270083-100270600	3.499
enhancers::chr10:100552400-100553000::chr10-100552426-100553000::chr10-100552426-100553000	16.13
enhancers::chr10:101355400-101356200::chr10-101355669-101355908::chr10-101355669-101355908	7.9725
enhancers::chr10:101387800-101391200::chr10-101390756-101391183::chr10-101390756-101391183	2.743
enhancers::chr10:101436000-101437000::chr10-101436170-101436623::chr10-101436170-101436623	0.517
enhancers::chr10:101436000-101437000::chr10-101436657-101436931::chr10-101436657-101436931	2.44
enhancers::chr10:101441200-101442800::chr10-101441803-101442149::chr10-101441803-101442149	0.7245
enhancers::chr10:101453600-101455200::chr10-101453845-101454290::chr10-101453845-101454290	3.49
enhancers::chr10:101458200-101458800::chr10-101458621-101458775::chr10-101458621-101458775	0.344
enhancers::chr10:101467600-101470600::chr10-101468477-101468760::chr10-101468477-101468760	2.48725
enhancers::chr10:101501400-101504200::chr10-101503600-101503773::chr10-101503600-101503773	3.4565
enhancers::chr10:101501400-101504200::chr10-101503835-101503874::chr10-101503835-101503874	6.757
enhancers::chr10:101514000-101515800::chr10-101514570-101514776::chr10-101514570-101514776	0.2735
enhancers::chr10:101593800-101596000::chr10-101594298-101594564::chr10-101594298-101594564	4.95725
enhancers::chr10:101593800-101596000::chr10-101595642-101595827::chr10-101595642-101595827	3.908666667
enhancers::chr10:101666200-101667400::chr10-101666230-101666622::chr10-101666230-101666622	5.5784
enhancers::chr10:101935400-101937800::chr10-101935847-101935977::chr10-101935847-101935977	11.64
enhancers::chr10:101967800-101968400::chr10-101968096-101968379::chr10-101968096-101968379	2.175666667
enhancers::chr10:102067000-102068600::chr10-102067549-102067798::chr10-102067549-102067798	8.071
enhancers::chr10:102137200-102138200::chr10-102137587-102138042::chr10-102137587-102138042	1.943
enhancers::chr10:102162200-102163800::chr10-102162721-102163026::chr10-102162721-102163026	9.2248
